campaignName,adGroupName,campaignId,adGroupId,advertisedSku,new_campaignName,new_adGroupName,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0107NVDT0XLR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0107NVDT00SR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0107NVDT0XSR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0107NVDT00LR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0107NVDT2XLR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0107NVDT00MR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0096RDBR0XSR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0096RDBR00MR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0096RDBR00LR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0096RDBR0XLR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,
L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,353667105415030,295581280246439,LPL22AW0096RDBR00SR2,L96 + L107 - Badge,Ad group - 25/01/2024 13:25:13.106,,,,,,,,,,,,,