advertisedSku,avg_acos,campaignName,campaignId,adGroupName,adGroupId,market,new_campaignName,new_adGroupName
LPK17SS00010WHI012R4,0.118284,K01 manu,173353123558502,广告组 - 22.7.2022 14:10:16,26365897085680,DE,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
LPK17SS0001MUT3004R4V2,0.140891,K01 manu,173353123558502,广告组 - 22.7.2022 14:10:16,26365897085680,DE,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
LPK17SS00010MUT004R4Y20V1,0.160974,K01 manu,173353123558502,广告组 - 22.7.2022 14:10:16,26365897085680,DE,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
LPK17SS0001MUT1008R4,0.09391,K01 manu,173353123558502,广告组 - 22.7.2022 14:10:16,26365897085680,DE,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
LPM17SS00360NAY0XLR4,0.163459,M36 auto,110747744302100,Ad group 1,68500905903909,DE,DeepBI_0502_M36 auto,DeepBI_0502_M36 auto
LPM21SS0093MT0100SR2,0.200275,M92 M93 auto,134687326172915,Ad group 1,186972197091745,DE,DeepBI_0502_M92 M93 auto,DeepBI_0502_M92 M93 auto
LPM21SS0093MT0100LR2,0.302331,M92 M93 manu,149683322242472,Ad group 1,221743963392489,DE,DeepBI_0502_M92 M93 manu,DeepBI_0502_M92 M93 manu
LPM17SS0019LBLU00SA1,0.286156,M19 auto,224780133868996,M19 auto,134695443550665,DE,DeepBI_0502_M19 auto,DeepBI_0502_M19 auto
LPM17SS00350BLK00LR4,0.180719,M35 manu,74411237019159,广告组 - 27.4.2022 14:34:26,56481383643156,DE,DeepBI_0502_M35 manu,DeepBI_0502_M35 manu
LPM17AW0039BLBU0XLR1,0.530834,M38 M39 auto,12310204722546,Ad group - 21.4.2022 13:08:22,159723403150565,DE,DeepBI_0502_M38 M39 auto,DeepBI_0502_M38 M39 auto
LPK17SS00010MUT006R4Y20V1,0.135871,K01 manu,173353123558502,广告组 - 22.7.2022 14:10:16,26365897085680,DE,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
LPK17SS0001MUT900LR4,0.400425,K01 manu,173353123558502,广告组 - 22.7.2022 14:10:16,26365897085680,DE,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
LPG22SS0011MT0300SR4,0.219139,G11 G19 manu,100302274192472,G11 manu,167382219594066,DE,DeepBI_0502_G11 G19 manu,DeepBI_0502_G11 G19 manu
LPL16SS00020NAY00LB1,0.131527,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPM21SS0092MT050XLR2,0.141495,M92 M93 auto,134687326172915,Ad group 1,186972197091745,DE,DeepBI_0502_M92 M93 auto,DeepBI_0502_M92 M93 auto
LPL16SS00020BLK00LB1,0.281735,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPK17SS00010WHI010R4,0.407041,K01 auto,275966513400828,Ad group 1,95346095527742,DE,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
LPL16SS0002PINK00LA1,0.355884,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPM16AW0011DGRYXXLR2,0.101326,M11 M57 M24 manu,38326401275291,M11 57 24,161283650464293,DE,DeepBI_0502_M11 M57 M24 manu,DeepBI_0502_M11 M57 M24 manu
LPL16SS00020BLK0XLB1,0.167445,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPB22SS0014MT032XLR4,0.114483,B14 auto2,133547499382377,B14 auto,80802964558058,DE,DeepBI_0502_B14 auto2,DeepBI_0502_B14 auto2
LPL16SS00020NAY00SA1,0.15224,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPL16SS0002DHGY00LA1,0.114501,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPM17SS00190BLK00LR1-22V1,0.160526,M19 auto,224780133868996,M19 auto,134695443550665,DE,DeepBI_0502_M19 auto,DeepBI_0502_M19 auto
LPL16SS0002BURY00SB1,0.11198,L02 Manu,448347666425651,L02 Manu,473015560737442,DE,DeepBI_0502_L02 Manu,DeepBI_0502_L02 Manu
LPL16SS0002OFWH00LB1,0.389531,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPL18SS0058LHGY00SR2V2,0.077545,L58 auto,136915462070708,Ad group 1,136425500185954,DE,DeepBI_0502_L58 auto,DeepBI_0502_L58 auto
LPL17AW00170BLKXXLR2-19Y,0.06547,L17 L41 L44 manu,77096673832266,Ad group 1,148304714078504,DE,DeepBI_0502_L17 L41 L44 manu,DeepBI_0502_L17 L41 L44 manu
LPL19SS0055MT0200LA3,0.139988,L55 manu 绩效词,218543274235804,广告组 - 27.5.2022 15:56:48,49174721817159,DE,DeepBI_0502_L55 manu 绩效词,DeepBI_0502_L55 manu 绩效词
LPL16SS00010PUR00MB1,0.329159,L01 auto,192442429428734,Ad group 1,169660053380852,DE,DeepBI_0502_L01 auto,DeepBI_0502_L01 auto
LPL16SS00020BLK00SB1,0.280441,L02 Manu,448347666425651,L02 Manu,473015560737442,DE,DeepBI_0502_L02 Manu,DeepBI_0502_L02 Manu
LPM17SS00190BLK00SA1-22V1,0.213582,M19 auto,224780133868996,M19 auto,134695443550665,DE,DeepBI_0502_M19 auto,DeepBI_0502_M19 auto
LPM17SS0019IDBL00LR1-23V1,0.072315,M19 manu 2,224384961818476,M19 manu,83587434286467,DE,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
LPL16SS0002OFWH00SB1,0.331576,L02 Manu,448347666425651,L02 Manu,473015560737442,DE,DeepBI_0502_L02 Manu,DeepBI_0502_L02 Manu
LPM17SS0019HGRY00SR1-22V1,0.192763,M19 manu 2,224384961818476,M19 manu,83587434286467,DE,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
LPM17AW0038NBWH00MA1,0.398543,M38 M39 manu,127273181908171,Ad group 1,152938518755630,DE,DeepBI_0502_M38 M39 manu,DeepBI_0502_M38 M39 manu
LPL19SS0055MT022XLA3,0.176436,L55 auto,112677672626678,L55 Auto,267447042456733,DE,DeepBI_0502_L55 auto,DeepBI_0502_L55 auto
LPK17SS0001MT0100SR4,0.216905,K01 manu,173353123558502,广告组 - 22.7.2022 14:10:16,26365897085680,DE,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
LPM17SS0019LPUR00LR1,0.137424,M19 auto,224780133868996,M19 auto,134695443550665,DE,DeepBI_0502_M19 auto,DeepBI_0502_M19 auto
LPM20AW0079BKBW00MR2,0.214508,M79 M95 auto,102419533468837,Ad group 1,209499262020893,DE,DeepBI_0502_M79 M95 auto,DeepBI_0502_M79 M95 auto
LPL18SS0058BRWN0XSR2,0.096085,L58 auto,136915462070708,Ad group 1,136425500185954,DE,DeepBI_0502_L58 auto,DeepBI_0502_L58 auto
LPL16SS00020BLK00MA1,0.252394,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPM17SS00350WHIXXLR4V3,0.148274,M35 manu,74411237019159,广告组 - 27.4.2022 14:34:26,56481383643156,DE,DeepBI_0502_M35 manu,DeepBI_0502_M35 manu
LPL17AW00170BLK00LR2-19Y,0.069393,L17 L41 L44 manu,77096673832266,Ad group 1,148304714078504,DE,DeepBI_0502_L17 L41 L44 manu,DeepBI_0502_L17 L41 L44 manu
LPM17SS00190WHIXXLR1-22V1,0.248987,M19 auto,224780133868996,M19 auto,134695443550665,DE,DeepBI_0502_M19 auto,DeepBI_0502_M19 auto
LPM17SS00350WHI0XLR4V2,0.162373,M35 manu,74411237019159,广告组 - 27.4.2022 14:34:26,56481383643156,DE,DeepBI_0502_M35 manu,DeepBI_0502_M35 manu
LPG22SS0011MT0300LR4,0.17037,G11 G19 manu,100302274192472,G11 manu,167382219594066,DE,DeepBI_0502_G11 G19 manu,DeepBI_0502_G11 G19 manu
LPL16SS00020NAY0XLA1,0.208434,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPL16SS00020NAY2XLA1,0.211057,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPL16SS0002OFWH00SA1,0.234463,L02 auto new,38775018847533,BU2-L02-Auto new,68633126787897,DE,DeepBI_0502_L02 auto new,DeepBI_0502_L02 auto new
LPL19AW00390BLK00MR1V2,0.240706,L39 L42 auto,215307777163381,广告组 - 13.9.2022 22:07:04,238811483340637,DE,DeepBI_0502_L39 L42 auto,DeepBI_0502_L39 L42 auto
LPL19AW00390WHI2XLR1,0.120195,L39 L42 auto,215307777163381,广告组 - 13.9.2022 22:07:04,238811483340637,DE,DeepBI_0502_L39 L42 auto,DeepBI_0502_L39 L42 auto
LPM17SS00190NAYXXLR1-23V1,0.109019,M19 auto,224780133868996,M19 auto,134695443550665,DE,DeepBI_0502_M19 auto,DeepBI_0502_M19 auto
LPL18SS0058BRWN00LR2,0.088813,L58 auto,136915462070708,Ad group 1,136425500185954,DE,DeepBI_0502_L58 auto,DeepBI_0502_L58 auto