campaignId,adGroupId,new_campaignName,new_adGroupName,advertisedSku,,,,,,,,,,,,,,,
423101200392753,486870386132094,DeepBI_0502_B14 - Manual_overstock,DeepBI_0502_B14 - Manual_overstock,LPB22SS0014MT022XLR4,,,,,,,,,,,,,,,
540851509486080,542342569529742,DeepBI_0502_G19-Manuel_overstock,DeepBI_0502_G19-Manuel_overstock,LPG24SS0019MT022XLR4,,,,,,,,,,,,,,,
497302161790388,381101083935232,DeepBI_0502_L100 - Manual_overstock,DeepBI_0502_L100 - Manual_overstock,LPL22AW01000NAY2XLR2,,,,,,,,,,,,,,,
384918552696319,501037278372924,DeepBI_0502_summer_L52B1 - Manual_overstock,DeepBI_0502_summer_L52B1 - Manual_overstock,LPL19SS0052DHGY00SB1,,,,,,,,,,,,,,,
328616201975103,509407722488481,DeepBI_0502_summer_L52A1 - Manual_overstock,DeepBI_0502_summer_L52A1 - Manual_overstock,LPL19SS00520PUR00LA1,,,,,,,,,,,,,,,
493694672609485,314003915850411,DeepBI_new_L54-Manuel_overstock,DeepBI_new_L54-Manuel_overstock,LPL21SS0054ORPK00SR1,,,,,,,,,,,,,,,
374399027292525,395209659696813,DeepBI_0502_L59 - Manual_overstock,DeepBI_0502_L59 - Manual_overstock,LPL21SS0059DKPK00SR1,,,,,,,,,,,,,,,
347896018992522,466334102864245,DeepBI_0502_M134-Manuel_overstock,DeepBI_0502_M134-Manuel_overstock,LPM24SS01340BLK00SR1,,,,,,,,,,,,,,,
358912452756123,401945033887736,DeepBI_0502_M19 manu 2_overstock,DeepBI_0502_M19 manu 2_overstock,LPM17SS00190BLK00SR1-23V1,,,,,,,,,,,,,,,
266649249856686,56337470668458,DeepBI_0502_M36-Manuel_overstock,DeepBI_0502_M36-Manuel_overstock,LPM17SS00360WHI0XLR4,,,,,,,,,,,,,,,